game_date,team_name,opp_team_name,venue,pbp_period,clock_seconds,situation_type,goals_for,goals_against,player_name,event,event_successful,x_coord,y_coord,event_type,player_name_2,x_coord_2,y_coord_2,event_detail_1,event_detail_2,event_detail_3,frame_id,pbp_game_seconds,has_reception,possession,momentary_possession,video_shot,game_seconds,is_zone_entry,entry_time,recovery_time,is_pp_ozone,pp_name
8/2/2022,USA,Canada,home,1,386,4 on 5,0,0,Alex Carpenter,Faceoff Win,t,31,65,Backhand,Marie-Philip Poulin,,,,,,300.0,814,False,loose,,1.0,814.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,USA,Canada,home,1,383,4 on 5,0,0,Lee Stecklein,Puck Recovery,t,6,64,,,,,,,,300.0,817,False,Lee Stecklein,,1.0,817.0,False,,817.0,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,USA,Canada,home,1,382,4 on 5,0,0,Lee Stecklein,Dump In/Out,f,4,37,,,,,,,,300.0,818,False,loose,Lee Stecklein,1.0,818.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,380,5 on 4,0,0,Sarah Fillier,Puck Recovery,t,165,82,,,,,,,,300.0,820,False,Sarah Fillier,,1.0,820.0,False,,820.0,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,378,5 on 4,0,0,Sarah Fillier,Play,t,194,66,Indirect,Brianne Jenner,193.0,16.0,,,,300.0,822,False,Brianne Jenner,Sarah Fillier,1.0,822.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,375,5 on 4,0,0,Brianne Jenner,Play,t,185,7,Direct,Marie-Philip Poulin,139.0,5.0,,,,344.0,825,True,loose,Brianne Jenner,1.0,825.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,375,5 on 4,0,0,Brianne Jenner,Reception,t,185,7,Direct,Marie-Philip Poulin,139.0,5.0,,,,370.0,825,False,Marie-Philip Poulin,,1.0,826.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,373,5 on 4,0,0,Marie-Philip Poulin,Play,t,161,3,Direct,Rebecca Johnston,143.0,19.0,,,,420.0,827,True,loose,Marie-Philip Poulin,1.0,827.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,373,5 on 4,0,0,Marie-Philip Poulin,Reception,t,161,3,Direct,Rebecca Johnston,143.0,19.0,,,,443.0,827,False,Rebecca Johnston,,1.0,828.0,False,,,True,2022-02-08 Canada at USA P1 PP1
8/2/2022,Canada,USA,away,1,366,5 on 4,0,0,Rebecca Johnston,Play,t,176,3,Direct,Marie-Philip Poulin,130.0,17.0,,,,605.0,834,True,loose,Rebecca Johnston,1.0,834.0,False,,,True,2022-02-08 Canada at USA P1 PP1
